"file_id","input_path","output_path","score","q1","q2","q3","q4"
"WhatsApp Image 2025-03-12 at 12.36.17 PM.jpeg","inputs\WhatsApp Image 2025-03-12 at 12.36.17 PM.jpeg","outputs\Manual\ErrorFiles\WhatsApp Image 2025-03-12 at 12.36.17 PM.jpeg","NA","","","",""
"WhatsApp Image 2025-03-12 at 12.36.17 PM.jpeg","inputs\WhatsApp Image 2025-03-12 at 12.36.17 PM.jpeg","outputs\Manual\ErrorFiles\WhatsApp Image 2025-03-12 at 12.36.17 PM.jpeg","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
